tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
ZTS,2010-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ZTS,2010-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ZTS,2010-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ZTS,2010-12-31,110.0,37.0,67.0,168.0,382.0,0.0,38.0,673.0,63.0,648.0,inf,inf
ZTS,2011-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0
ZTS,2011-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ZTS,2011-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ZTS,2011-12-31,245.0,36.0,146.0,176.0,603.0,0.0,0.0,575.0,79.0,496.0,inf,inf
ZTS,2012-03-31,111.0,8.0,59.0,24.0,202.0,0.0,0.0,0.0,0.0,0.0,-66.50082918739635,-100.0
ZTS,2012-06-30,173.0,8.0,79.0,40.0,300.0,0.0,0.0,0.0,0.0,0.0,48.51485148514851,
ZTS,2012-09-30,162.0,7.0,52.0,36.0,257.0,0.0,0.0,580.0,133.0,447.0,-14.333333333333332,inf
ZTS,2012-12-31,-10.0,8.0,84.0,27.0,109.0,0.0,73.0,509.0,317.0,265.0,-57.58754863813229,-40.71588366890381
ZTS,2013-03-31,140.0,23.0,52.0,39.0,254.0,16700.0,6.0,3640.0,468.0,19878.0,133.02752293577979,7401.132075471698
ZTS,2013-06-30,128.0,32.0,59.0,38.0,257.0,15445.0,12.0,3640.0,369.0,18728.0,1.1811023622047223,-5.785290270650966
ZTS,2013-09-30,131.0,30.0,54.0,38.0,253.0,15560.0,10.0,3642.0,389.0,18823.0,-1.5564202334630295,0.5072618539085916
ZTS,2013-12-31,105.0,31.0,22.0,47.0,205.0,16345.0,15.0,3642.0,610.0,19392.0,-18.972332015810277,3.0228975189927176
ZTS,2014-03-31,155.0,30.0,72.0,50.0,307.0,14498.94,16.0,3642.0,506.0,17650.940000000002,49.75609756097561,-8.978238448844877
ZTS,2014-06-30,136.0,30.0,61.0,51.0,278.0,16168.4963,12.0,3642.0,578.0,19244.4963,-9.446254071661242,9.028166771854629
ZTS,2014-09-30,166.0,30.0,71.0,50.0,317.0,18519.1922,10.0,3642.0,598.0,21573.1922,14.028776978417268,12.100581193179893
ZTS,2014-12-31,126.0,31.0,29.0,53.0,239.0,21572.1438,7.0,3643.0,882.0,24340.1438,-24.60567823343849,12.825879333703805
ZTS,2015-03-31,165.0,29.0,65.0,48.0,307.0,23162.0347,402.0,3243.0,559.0,26248.0347,28.451882845188294,7.838453690647462
ZTS,2015-06-30,-37.0,30.0,9.0,50.0,52.0,24078.1266,404.0,3243.0,544.0,27181.1266,-83.06188925081433,3.5549019599551146
ZTS,2015-09-30,189.0,30.0,83.0,46.0,348.0,20521.3529,408.0,3226.0,592.0,23563.3529,569.2307692307693,-13.309873991757204
ZTS,2015-12-31,22.0,39.0,49.0,55.0,165.0,23835.408,405.0,4463.0,1154.0,27549.408,-52.58620689655172,16.9163323951236
ZTS,2016-03-31,204.0,44.0,128.0,56.0,432.0,22006.1656,4.0,4464.0,675.0,25799.1656,161.8181818181818,-6.3531034859260815
ZTS,2016-06-30,224.0,42.0,108.0,58.0,432.0,23511.2094,4.0,4465.0,658.0,27322.2094,0.0,5.903461466986348
ZTS,2016-09-30,239.0,41.0,96.0,58.0,434.0,25705.4744,0.0,4467.0,651.0,29521.4744,0.4629629629629539,8.049367339963354
ZTS,2016-12-31,154.0,42.0,77.0,61.0,334.0,26382.5282,0.0,4468.0,727.0,30123.5282,-23.04147465437788,2.03937578402249
ZTS,2017-03-31,238.0,42.0,98.0,61.0,439.0,26222.1754,750.0,3718.0,629.0,30061.1754,31.437125748502993,-0.20699036177309615
ZTS,2017-06-30,247.0,42.0,98.0,58.0,445.0,30544.9908,850.0,3719.0,705.0,34408.9908,1.3667425968109326,14.463224881086978
ZTS,2017-09-30,298.0,44.0,117.0,58.0,517.0,31104.1683,750.0,4952.0,1981.0,34825.168300000005,16.179775280898866,1.209502197896506
ZTS,2017-12-31,81.0,51.0,350.0,63.0,545.0,35020.8052,0.0,4953.0,1564.0,38409.8052,5.415860735009681,10.293236400525863
ZTS,2018-03-31,352.0,49.0,67.0,60.0,528.0,40479.3012,0.0,4954.0,1654.0,43779.3012,-3.119266055045866,13.97949292385372
ZTS,2018-06-30,384.0,48.0,55.0,63.0,550.0,41086.2851,0.0,4955.0,1558.0,44483.2851,4.166666666666674,1.6080290929815
ZTS,2018-09-30,347.0,56.0,71.0,84.0,558.0,44038.5288,0.0,6441.0,1391.0,49088.5288,1.454545454545464,10.352750903282537
ZTS,2018-12-31,345.0,62.0,73.0,101.0,581.0,41021.7335,9.0,6443.0,1701.0,45772.7335,4.121863799283143,-6.754725352453416
ZTS,2019-03-31,312.0,59.0,69.0,98.0,538.0,48223.5474,33.0,6578.0,1793.0,53041.5474,-7.40103270223752,15.880226816692078
ZTS,2019-06-30,371.0,58.0,84.0,98.0,611.0,54227.9053,36.0,6615.0,1780.0,59098.9053,13.568773234200737,11.420024861491873
ZTS,2019-09-30,433.0,59.0,95.0,107.0,694.0,59397.7841,34.0,6616.0,1827.0,64220.78409999999,13.58428805237315,8.666622121002288
ZTS,2019-12-31,384.0,60.0,53.0,109.0,606.0,62936.1308,535.0,6111.0,1934.0,67648.1308,-12.680115273775217,5.336818520719389
ZTS,2020-03-31,423.0,57.0,74.0,110.0,664.0,55886.8619,533.0,6122.0,1951.0,60590.8619,9.570957095709565,-10.432319143990298
ZTS,2020-06-30,377.0,62.0,106.0,111.0,656.0,65093.863,501.0,7349.0,3353.0,69590.863,-1.2048192771084376,14.853726812557522
ZTS,2020-09-30,479.0,66.0,118.0,111.0,774.0,78590.9349,1101.0,6762.0,3654.0,82799.9349,17.987804878048784,18.981043387836706
ZTS,2020-12-31,359.0,63.0,62.0,109.0,593.0,78665.129,644.0,6758.0,3604.0,82463.129,-23.385012919896642,-0.40677073044412815
ZTS,2021-03-31,559.0,62.0,129.0,109.0,859.0,74798.748,604.0,6746.0,3602.0,78546.748,44.85666104553119,-4.749251025873624
ZTS,2021-06-30,512.0,61.0,125.0,112.0,810.0,88373.962,604.0,6739.0,3658.0,92058.962,-5.704307334109426,17.202766943323986
ZTS,2021-09-30,552.0,61.0,107.0,110.0,830.0,91900.8284,0.0,6752.0,3274.0,95378.8284,2.4691358024691468,3.6062392274203603
ZTS,2021-12-31,414.0,88.0,93.0,117.0,712.0,115322.2332,41.0,6743.0,3485.0,118621.2332,-14.216867469879514,24.3685157281718
ZTS,2022-03-31,595.0,58.0,133.0,114.0,900.0,88865.3053,1350.0,5386.0,3135.0,92466.3053,26.40449438202248,-22.04911144019366
ZTS,2022-06-30,529.0,59.0,141.0,117.0,846.0,80549.8886,1352.0,5382.0,2652.0,84631.8886,-6.000000000000005,-8.472726010390296
ZTS,2022-09-30,529.0,58.0,139.0,115.0,841.0,69168.6842,1353.0,5396.0,2507.0,73410.6842,-0.5910165484633523,-13.258837284177073
ZTS,2022-12-31,461.0,67.0,132.0,119.0,779.0,67971.0624,1395.0,6738.0,3581.0,72523.0624,-7.372175980975026,-1.2091180046514327
ZTS,2023-03-31,552.0,69.0,146.0,120.0,887.0,76977.6678,3.0,6739.0,2109.0,81610.6678,13.86392811296533,12.530642114748858
ZTS,2023-06-30,671.0,64.0,202.0,121.0,1058.0,79345.9297,2.0,6743.0,1717.0,84373.9297,19.278466741826385,3.3859077183044484
ZTS,2023-09-30,596.0,66.0,121.0,124.0,907.0,79948.1595,2.0,6743.0,1754.0,84939.1595,-14.272211720226846,0.6699104830244718
ZTS,2023-12-31,525.0,67.0,127.0,126.0,845.0,90467.8948,52.0,6760.0,2041.0,95238.8948,-6.835722160970237,12.126015092014185
ZTS,2024-03-31,599.0,66.0,148.0,126.0,939.0,77320.0019,24.0,6746.0,1975.0,82115.0019,11.12426035502958,-13.779971856624263
ZTS,2024-06-30,624.0,68.0,156.0,127.0,975.0,78672.8483,0.0,6744.0,1574.0,83842.8483,3.833865814696491,2.104178724983985
ZTS,2024-09-30,682.0,66.0,182.0,121.0,1051.0,88223.839,0.0,6755.0,1714.0,93264.839,7.794871794871794,11.23767964834277
