tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
SOLV,2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SOLV,2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SOLV,2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SOLV,2022-12-31,1343.0,0.0,349.0,550.0,2242.0,0.0,27.0,68.0,61.0,34.0,inf,inf
SOLV,2023-03-31,293.0,0.0,70.0,137.0,500.0,0.0,0.0,0.0,0.0,0.0,-77.69848349687778,-100.0
SOLV,2023-06-30,321.0,0.0,92.0,126.0,539.0,0.0,0.0,0.0,0.0,0.0,7.800000000000007,
SOLV,2023-09-30,460.0,0.0,40.0,137.0,637.0,0.0,0.0,0.0,0.0,0.0,18.181818181818187,
SOLV,2023-12-31,272.0,0.0,119.0,129.0,520.0,0.0,29.0,69.0,194.0,-96.0,-18.36734693877551,-inf
SOLV,2024-03-31,237.0,39.0,92.0,131.0,499.0,11995.0103,0.0,8303.0,996.0,19302.0103,-4.038461538461535,-20206.260729166668
SOLV,2024-06-30,89.0,114.0,7.0,126.0,336.0,9132.9577,0.0,8306.0,897.0,16541.9577,-32.66533066132264,-14.299301249466245
SOLV,2024-09-30,122.0,107.0,45.0,125.0,399.0,12044.4089,300.0,7809.0,772.0,19381.4089,18.75,17.16514605765194
