tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
VRTX,2006-03-31,-50.087,2.357,0.0,6.25,-41.480000000000004,4020.2531,0.0,180.097,339.459,3860.8911
VRTX,2006-06-30,-77.658,2.357,0.0,6.809,-68.492,4060.126,0.0,180.092,262.341,3977.877
VRTX,2006-09-30,-51.802,1.767,0.0,5.934,-44.101,4215.0663,42.102,79.645,694.755,3642.0583000000006
VRTX,2006-12-31,-27.344,1.474,0.0,6.875,-18.995,4719.4478,101.75,19.997,704.626,4136.5688
VRTX,2007-03-31,-80.728,1.221,0.0,6.321,-73.18599999999999,3668.333,42.102,19.997,655.14,3075.292
VRTX,2007-06-30,-117.767,0.57,0.0,6.852,-110.345,3750.6134,62.099,0.0,592.967,3219.7454000000002
VRTX,2007-09-30,-107.033,0.494,0.0,6.835,-99.70400000000001,5076.6881,19.997,0.0,502.55,4594.1351
VRTX,2007-12-31,-85.751,0.0,0.0,7.451,-78.30000000000001,3086.7095,19.997,0.0,460.871,2645.8354999999997
VRTX,2008-03-31,-96.154,1.914,0.0,7.498,-86.74199999999999,3353.7499,19.997,287.5,749.643,2911.6038999999996
VRTX,2008-06-30,-91.321,3.833,0.0,8.17,-79.318,4723.2529,0.0,287.5,832.062,4178.6909000000005
VRTX,2008-09-30,-130.044,3.812,0.0,7.953,-118.27900000000001,4999.6616,0.0,287.5,920.067,4367.0946
VRTX,2008-12-31,-142.332,3.912,0.0,8.575,-129.845,4594.8231,0.0,287.5,832.101,4050.2220999999995
VRTX,2009-03-31,-162.672,3.378,0.0,7.164,-152.13,4969.8878,0.0,287.5,869.186,4388.201800000001
VRTX,2009-06-30,-171.297,3.325,0.0,7.745,-160.227,6481.9019,0.0,144.0,754.364,5871.537899999999
VRTX,2009-09-30,-149.565,1.927,0.0,6.815,-140.823,6856.0721,0.0,262.84,856.61,6262.302100000001
VRTX,2009-12-31,-158.644,4.562,0.0,8.383,-145.69899999999998,8568.0718,32.071,121.765,1284.913,7436.994799999999
VRTX,2010-03-31,-165.271,3.955,0.0,7.584,-153.73199999999997,8260.767,0.0,125.316,1092.683,7293.400000000001
VRTX,2010-06-30,-200.006,3.683,0.0,7.912,-188.411,6663.3357,45.776,86.407,979.145,5816.3737
VRTX,2010-09-30,-208.957,3.951,0.0,6.758,-198.248,7021.2016,45.28,487.225,1203.011,6350.695600000001
VRTX,2010-12-31,-180.392,7.686,0.0,5.646,-167.06,7129.4107,136.991,400.0,1031.411,6634.9907
VRTX,2011-03-31,-176.096,12.001,0.0,8.858,-155.237,9847.6019,92.1,400.0,823.452,9516.2499
VRTX,2011-06-30,-174.069,6.962,24.448,8.709,-133.95,10786.5213,94.664,400.0,656.589,10624.596300000001
VRTX,2011-09-30,221.11,7.059,-27.842,7.75,208.077,9268.1761,98.416,400.0,709.265,9057.3271
VRTX,2011-12-31,158.629,12.43,22.66,9.724,203.44299999999998,6950.9858,0.0,455.95,1020.8,6386.1358
VRTX,2012-03-31,91.59,4.105,0.032,8.56,104.287,8647.4916,0.0,494.179,1038.884,8102.786599999999
VRTX,2012-06-30,-64.931,4.195,20.063,8.665,-32.008,12047.1252,0.0,560.291,1279.358,11328.0582
VRTX,2012-09-30,-57.543,4.56,21.355,8.593,-23.034999999999997,12091.3544,0.0,615.956,1373.496,11333.8144
VRTX,2012-12-31,-76.148,3.793,-2.696,12.373,-62.67799999999999,9104.3253,13.707,683.201,1391.198,8410.0353
VRTX,2013-03-31,-308.016,3.465,-130.313,10.691,-424.17300000000006,12019.3004,8.302,731.576,1302.362,11456.8164
VRTX,2013-06-30,-57.165,6.549,3.984,10.554,-36.077999999999996,18588.0906,10.664,387.188,1488.984,17496.958599999998
VRTX,2013-09-30,-124.132,0.286,2.555,9.489,-111.80199999999999,17710.9454,14.429,431.95,1473.709,16683.615400000002
VRTX,2013-12-31,44.285,12.626,1.352,17.631,75.89399999999999,17370.5227,16.893,489.691,1465.076,16412.0307
VRTX,2014-03-31,-232.457,15.717,0.803,15.788,-200.14899999999997,16704.1347,18.323,522.855,1324.2,15921.112699999998
VRTX,2014-06-30,-159.382,15.585,0.693,14.172,-128.932,22470.4991,19.707,518.321,1219.161,21789.3661
VRTX,2014-09-30,-170.06,20.384,3.419,16.961,-129.296,26981.1298,18.124,810.112,1477.737,26331.6288
VRTX,2014-12-31,-176.656,21.177,2.043,16.336,-137.10000000000002,28721.5632,32.012,792.935,1395.524,28150.9862
VRTX,2015-03-31,-198.606,21.307,0.299,16.363,-160.637,28735.1326,48.199,785.708,1181.134,28387.9056
VRTX,2015-06-30,-188.848,21.111,30.131,14.065,-123.54100000000003,30171.3502,56.794,767.673,1104.768,29891.0492
VRTX,2015-09-30,-95.149,21.134,1.33,16.168,-56.517,25581.5744,14.153,806.829,1081.595,25320.9614
VRTX,2015-12-31,-73.731,20.654,-1.379,15.747,-38.708999999999996,30992.8098,87.023,739.503,1121.372,30697.9638
VRTX,2016-03-31,-41.631,20.698,5.485,16.415,0.9669999999999987,19656.8436,163.543,660.951,1101.891,19379.446600000003
VRTX,2016-06-30,-64.525,20.155,18.13,14.963,-11.277000000000006,21307.4981,239.022,581.612,1141.949,20986.183100000002
VRTX,2016-09-30,-38.841,20.14,0.503,14.569,-3.6289999999999996,21630.6091,315.523,504.792,1186.861,21264.063100000003
VRTX,2016-12-31,32.945,20.439,-7.453,15.451,61.382,18292.3347,319.426,521.335,1482.319,17650.7767
VRTX,2017-03-31,247.756,16.765,3.985,14.85,283.35600000000005,27216.2309,19.27,529.13,1453.346,26311.2849
VRTX,2017-06-30,17.996,14.664,4.337,14.89,51.887,32316.7299,18.179,550.365,1733.278,31151.9959
VRTX,2017-09-30,-102.952,13.574,-125.903,15.225,-200.056,38417.9233,19.881,567.31,1814.051,37191.0633
VRTX,2017-12-31,100.684,12.547,10.257,16.432,139.92,37952.4946,22.531,583.902,2090.155,36468.772600000004
VRTX,2018-03-31,210.263,16.886,-12.659,16.343,230.833,41538.3866,16.919,578.206,2486.852,39646.6596
VRTX,2018-06-30,207.36,18.155,10.341,18.059,253.91500000000002,43319.9147,15.06,577.675,2776.464,41136.1857
VRTX,2018-09-30,128.746,18.686,8.055,19.192,174.67900000000003,49266.4641,11.511,576.53,3064.634,46789.8711
VRTX,2018-12-31,1550.527,18.744,-1492.599,18.826,95.49800000000002,42284.5521,9.817,581.55,3173.152,39702.767100000005
VRTX,2019-03-31,268.631,14.868,51.534,27.14,362.17299999999994,47155.7665,43.245,623.865,3484.285,44338.591499999995
VRTX,2019-06-30,267.427,14.837,59.711,27.698,369.673,47068.328,44.988,611.963,3958.184,43767.095
VRTX,2019-09-30,57.518,14.548,13.148,25.847,111.061,43585.8363,45.262,604.539,4002.981,40232.6563
VRTX,2019-12-31,583.234,14.249,93.716,26.256,717.455,56706.5174,50.299,622.868,3816.298,53563.386399999996
VRTX,2020-03-31,602.753,14.136,54.781,26.821,698.491,61647.8481,0.0,532.952,4198.948,57981.852100000004
VRTX,2020-06-30,837.27,13.871,-12.5,26.697,865.338,75516.5984,0.0,522.067,5455.137,70583.5284
VRTX,2020-09-30,667.434,13.856,78.437,26.642,786.369,70798.5489,0.0,546.514,6153.956,65191.10689999999
VRTX,2020-12-31,604.19,16.288,284.433,29.355,934.2660000000001,61422.4026,52.955,889.505,6659.555,55705.3076
VRTX,2021-03-31,653.138,15.678,167.822,28.834,865.472,55619.7638,0.0,898.797,6932.545,49586.0158
VRTX,2021-06-30,66.924,15.478,-111.179,31.238,2.4609999999999985,52245.1558,0.0,893.849,6715.383,46423.6218
VRTX,2021-09-30,851.928,15.255,230.813,31.696,1129.692,46473.2063,0.0,876.8,6965.4,40384.6063
VRTX,2021-12-31,770.11,15.089,100.844,33.832,919.8750000000001,55883.5884,80.2,887.2,7530.0,49320.988399999995
VRTX,2022-03-31,762.1,14.9,192.7,35.9,1005.6,66697.4078,36.1,872.5,8242.0,59364.00780000001
VRTX,2022-06-30,810.5,14.6,213.9,37.3,1076.3,72145.5665,61.9,847.3,9255.3,63799.466499999995
VRTX,2022-09-30,930.5,13.7,245.9,36.7,1226.8000000000002,74309.2828,39.7,824.6,9776.2,65397.38280000001
VRTX,2022-12-31,818.9,11.6,257.9,38.4,1126.8000000000002,74219.9254,89.4,810.3,10786.5,64333.12539999999
VRTX,2023-03-31,699.8,11.4,191.7,38.8,941.6999999999998,81133.6757,0.0,789.2,10419.8,71503.0757
VRTX,2023-06-30,915.7,11.2,245.8,41.4,1214.1000000000001,90719.9346,0.0,767.6,11238.6,80248.9346
VRTX,2023-09-30,1035.3,10.9,143.9,42.1,1232.2,89657.4565,0.0,744.7,11934.6,78467.55649999999
VRTX,2023-12-31,968.8,10.6,178.8,59.0,1217.2,104853.5186,83.7,724.7,11221.5,94440.41859999999
VRTX,2024-03-31,1099.6,10.4,179.5,53.5,1343.0,107970.311,0.0,721.3,10182.7,98508.91100000001
VRTX,2024-06-30,-3593.6,9.9,202.4,54.0,-3327.2999999999997,120936.7908,0.0,933.4,5806.4,116063.7908
VRTX,2024-09-30,1045.4,7.5,178.7,53.2,1284.8000000000002,119851.116,71.2,1702.9,6533.4,115091.81599999999
